"point_type","crop","n","mean_suitability","median_suitability","min_suitability","max_suitability","low_n","moderate_n","high_n","low_pct","moderate_pct","high_pct"
"Archaeobotanical sites","Sorghum",13,0.743578134821011,0.809821426868439,0.0819354504346848,1,1,2,10,7.69230769230769,15.3846153846154,76.9230769230769
"Archaeobotanical sites","Pearl millet",8,0.600682973861694,0.640845537185669,0.0537499785423279,0.892096161842346,1,2,5,12.5,25,62.5
"Archaeobotanical sites","Finger millet",6,0.339104920625687,0.0859722197055817,0,0.980185091495514,4,0,2,66.6666666666667,0,33.3333333333333
"Potential niche","Sorghum",151,0.528348404790787,0.67580646276474,0,1,47,21,83,31.1258278145695,13.9072847682119,54.9668874172185
"Potential niche","Pearl millet",75,0.484463398059209,0.59211540222168,0,1,24,15,36,32,20,48
"Potential niche","Finger millet",74,0.200790059324857,0,0,1,57,3,14,77.027027027027,4.05405405405405,18.9189189189189
